"","Channel 1 Last (C)","Channel 2 Last (C)","Channel 3 Last (C)","Channel 4 Last (C)","Channel 5 Last (C)","Channel 6 Last (C)"
"00:00:00","28.768","29.257","28.838","28.694","28.470","29.106"
"00:00:01","28.771","29.286","28.845","28.701","28.473","29.121"
"00:00:02","28.768","29.290","28.848","28.712","28.466","29.117"
"00:00:03","28.756","29.319","28.855","28.719","28.476","29.142"
"00:00:04","28.752","29.352","28.855","28.727","28.465","29.142"
"00:00:05","28.752","29.355","28.855","28.708","28.432","29.135"
"00:00:06","28.748","29.377","28.851","28.711","28.428","29.138"
"00:00:07","28.751","29.395","28.862","28.744","28.446","29.141"
"00:00:08","28.751","29.417","28.862","28.773","28.490","29.145"
"00:00:09","28.777","29.447","28.873","28.795","28.512","29.167"
"00:00:10","28.791","29.498","28.894","28.814","28.552","29.181"
"00:00:11","28.802","29.505","28.912","28.824","28.556","29.199"
"00:00:12","28.817","29.523","28.916","28.846","28.566","29.218"
"00:00:13","28.824","29.530","28.916","28.835","28.555","29.221"
"00:00:14","28.823","29.574","28.930","28.864","28.584","29.221"
"00:00:15","28.842","29.592","28.949","28.871","28.592","29.217"
"00:00:16","28.842","29.589","28.948","28.871","28.599","29.213"
"00:00:17","28.852","29.621","28.963","28.893","28.606","29.235"
"00:00:18","28.859","29.658","28.970","28.918","28.617","29.249"
"00:00:19","28.863","29.676","28.981","28.918","28.627","29.271"
"00:00:20","28.874","29.694","28.992","28.947","28.649","29.275"
"00:00:21","28.892","29.727","29.017","28.966","28.664","29.282"
"00:00:22","28.899","29.738","29.010","28.973","28.664","29.274"
"00:00:23","28.892","29.756","29.020","29.002","28.711","29.285"
"00:00:24","28.910","29.771","29.020","28.991","28.678","29.285"
"00:00:25","28.409","27.651","28.637","28.615","28.601","29.267"
"00:00:26","-0.776","-7.193","12.061","24.726","27.368","29.097"
"00:00:27","-6.551","-7.254","3.726","21.632","26.503","28.972"
"00:00:28","-12.666","-10.998","-3.236","15.580","24.520","28.497"
"00:00:29","-15.689","-12.643","-5.559","12.562","23.295","28.056"
"00:00:30","-16.534","-14.056","-7.383","9.724","21.929","27.522"
"00:00:31","-20.313","-15.415","-10.377","3.857","18.827","26.414"
"00:00:32","-19.307","-15.770","-10.918","1.819","17.236","25.877"
"00:00:33","-20.932","-16.855","-12.787","-0.846","14.085","24.824"
"00:00:34","-21.472","-17.469","-13.841","-2.131","12.487","24.302"
"00:00:35","-22.766","-19.647","-15.767","-4.332","9.385","23.308"
"00:00:36","-23.085","-13.957","-13.791","-4.556","7.659","22.800"
"00:00:37","-17.686","-8.882","-10.351","-3.294","6.450","22.300"
"00:00:38","-10.189","-3.842","-6.130","-1.280","5.658","21.439"
"00:00:39","-7.651","-2.090","-4.633","-0.504","5.680","21.034"
"00:00:40","-4.432","0.151","-2.641","0.605","6.096","20.349"
"00:00:41","-3.363","0.755","-2.029","1.055","6.408","20.070"
"00:00:42","-1.969","1.607","-1.132","1.686","6.910","19.572"
"00:00:43","-1.433","1.982","-0.794","1.918","7.196","19.364"
"00:00:44","-0.992","2.301","-0.467","2.162","7.436","19.174"
"00:00:45","-0.304","2.808","0.038","2.590","7.837","18.828"
"00:00:46","-0.049","3.018","0.244","2.736","7.984","18.672"
"00:00:47","0.364","3.389","0.585","3.017","8.313","18.393"
"00:00:48","0.600","3.513","0.716","3.122","8.415","18.270"
"00:00:49","0.802","3.768","0.975","3.843","8.636","18.073"
"00:00:50","0.919","3.858","1.073","4.278","8.639","17.988"
"00:00:51","1.027","3.951","1.166","4.589","8.741","17.872"
"00:00:52","1.312","4.079","1.324","5.160","8.932","17.675"
"00:00:53","1.372","4.150","1.406","5.460","9.037","17.567"
"00:00:54","1.511","4.262","1.548","5.940","9.251","17.392"
"00:00:55","1.567","4.315","1.616","6.116","9.397","17.344"
"00:00:56","1.687","4.408","1.747","6.581","9.648","17.273"
"00:00:57","1.747","4.453","1.803","6.762","9.757","17.232"
"00:00:58","1.781","4.491","1.856","6.934","9.888","17.198"
"00:00:59","1.874","4.573","1.972","7.249","10.171","17.143"
"00:01:00","1.927","4.618","2.039","7.403","10.249","17.102"
"00:01:01","1.990","4.663","2.144","7.714","10.442","17.057"
"00:01:02","2.035","4.700","2.204","7.920","10.539","17.038"
"00:01:03","2.102","4.764","2.290","8.183","10.713","16.989"
"00:01:04","2.140","4.797","2.331","8.307","10.802","16.967"
"00:01:05","2.177","4.835","2.380","8.419","10.891","16.948"
"00:01:06","2.260","4.876","2.485","8.648","11.107","16.926"
"00:01:07","2.297","4.902","2.549","8.802","11.214","16.915"
"00:01:08","2.376","4.932","2.657","9.031","11.389","16.889"
"00:01:09","2.406","4.958","2.796","9.199","11.496","16.881"
"00:01:10","2.488","5.003","3.137","9.443","11.623","16.858"
"00:01:11","2.529","5.033","3.306","9.578","11.749","16.851"
"00:01:12","2.567","5.059","3.490","9.687","11.816","16.855"
"00:01:13","2.675","5.123","3.846","9.938","12.012","16.854"
"00:01:14","2.739","5.145","4.034","10.095","12.109","16.847"
"00:01:15","2.927","5.231","4.421","10.400","12.295","16.873"
"00:01:16","3.047","5.276","4.627","10.544","12.413","16.873"
"00:01:17","3.335","5.385","5.039","10.834","12.644","16.898"
"00:01:18","3.512","5.486","5.253","10.997","12.751","16.895"
"00:01:19","3.711","5.632","5.497","11.172","12.870","16.894"
"00:01:20","4.202","6.068","5.974","11.536","13.152","16.920"
"00:01:21","4.532","6.308","6.240","11.696","13.260","16.946"
"00:01:22","5.332","6.998","6.811","12.041","13.527","16.991"
"00:01:23","5.775","7.520","7.088","12.268","13.687","16.994"
"00:01:24","6.957","9.066","8.109","12.914","14.070","17.024"
"00:01:25","7.599","9.768","8.668","13.234","14.244","17.054"
"00:01:26","8.240","10.402","9.194","13.527","14.452","17.072"
"00:01:27","9.370","11.476","10.142","14.044","14.820","17.143"
"00:01:28","9.854","11.951","10.569","14.318","15.017","17.183"
"00:01:29","10.729","12.791","11.342","14.839","15.307","17.284"
"00:01:30","11.126","13.177","11.680","15.013","15.455","17.336"
"00:01:31","11.880","13.887","12.334","15.411","15.790","17.477"
"00:01:32","12.241","14.218","12.653","15.600","15.950","17.547"
"00:01:33","12.553","14.515","12.936","15.793","16.098","17.618"
"00:01:34","13.173","15.087","13.486","16.131","16.403","17.766"
"00:01:35","13.478","15.351","13.753","16.313","16.544","17.859"
"00:01:36","13.994","15.852","14.229","16.703","16.804","18.019"
"00:01:37","14.255","16.094","14.474","16.874","16.945","18.101"
"00:01:38","14.708","16.555","14.912","17.212","17.194","18.268"
"00:01:39","14.931","16.774","15.113","17.361","17.316","18.349"
"00:01:40","15.150","16.989","15.324","17.517","17.454","18.435"
"00:01:41","15.558","17.383","15.718","17.784","17.669","18.624"
"00:01:42","15.759","17.569","15.915","17.922","17.803","18.717"
"00:01:43","16.145","17.929","16.276","18.212","18.078","18.888"
"00:01:44","16.335","18.111","16.446","18.338","18.182","18.962"
"00:01:45","16.677","18.431","16.781","18.590","18.405","19.133"
"00:01:46","16.848","18.594","16.944","18.721","18.524","19.226"
"00:01:47","17.004","18.732","17.093","18.825","18.631","19.304"
"00:01:48","17.308","19.029","17.401","19.077","18.828","19.471"
"00:01:49","17.457","19.177","17.550","19.211","18.932","19.564"
