cell_line,bio_replicate,tech_replicate,dist_from_surface_mm,n_live,n_expected,T_min
Calu-6,N1,n2,2.65,4,4,17.239926492676695
Calu-6,N1,n2,2.75,0,0,18.084631069153108
Calu-6,N1,n2,2.85,0,0,18.898685277267923
Calu-6,N1,n2,2.95,0,0,19.68173910201253
Calu-6,N1,n3,0.05,7,2406,-79.52697427577716
Calu-6,N1,n3,0.15,8,448,-70.41346324954227
Calu-6,N1,n3,0.25,11,484,-62.1771098044736
Calu-6,N1,n3,0.35,8,494,-54.666248060425694
Calu-6,N1,n3,0.45,10,506,-47.76567208489411
Calu-6,N1,n3,0.55,24,489,-41.38578318475933
Calu-6,N1,n3,0.65,23,650,-35.45548342053865
Calu-6,N1,n3,0.75,61,700,-29.917362205789143
Calu-6,N1,n3,0.85,86,842,-24.724341244876477
Calu-6,N1,n3,0.95,203,932,-19.83727830925865
Calu-6,N1,n3,1.05,306,1013,-15.223220649078632
Calu-6,N1,n3,1.15,442,1048,-10.854111364176951
Calu-6,N1,n3,1.25,579,1160,-6.705821199543883
Calu-6,N1,n3,1.35,1047,1254,-2.7574224041706468
Calu-6,N1,n3,1.45,1270,1314,0.6753284247599067
Calu-6,N1,n3,1.55,1359,1405,3.4922199132926477
Calu-6,N1,n3,1.65,1105,1202,5.792259625813199
Calu-6,N1,n3,1.75,833,903,7.989821213751684
Calu-6,N1,n3,1.85,715,777,9.830999001858881
Calu-6,N1,n3,1.95,534,546,11.476260311369353
Calu-6,N1,n3,2.05,432,449,12.856384944264835
Calu-6,N1,n3,2.15,286,303,14.045201733342962
Calu-6,N1,n3,2.25,166,173,15.0686743558388
Calu-6,N1,n3,2.35,97,103,15.97186899042432
Calu-6,N1,n3,2.45,86,88,16.788941801985402
Calu-6,N1,n3,2.55,41,44,17.573772626463644
Calu-6,N1,n3,2.65,3,3,18.33305350835475
Calu-6,N1,n3,2.75,0,0,19.066542059283282
Calu-6,N1,n3,2.85,0,0,19.774047361704326
Calu-6,N1,n3,2.95,0,0,20.45543682128608
Calu-6,N2,n1,0.05,6,1217,-103.20068538719707
Calu-6,N2,n1,0.15,1,317,-92.12029835466687
Calu-6,N2,n1,0.25,2,415,-82.10194627817285
Calu-6,N2,n1,0.35,5,388,-72.96225328545408
Calu-6,N2,n1,0.45,7,392,-64.56204073060437
Calu-6,N2,n1,0.55,15,359,-56.79315824075527
Calu-6,N2,n1,0.65,13,410,-49.56985872783925
Calu-6,N2,n1,0.75,35,452,-42.82295499577687
Calu-6,N2,n1,0.85,43,505,-36.49574550729911
Calu-6,N2,n1,0.95,73,611,-30.541103317714036
Calu-6,N2,n1,1.05,147,703,-24.91935272174683
Calu-6,N2,n1,1.15,303,782,-19.596694233056365
Calu-6,N2,n1,1.25,504,721,-14.544021760258117
Calu-6,N2,n1,1.35,646,775,-9.736028502865324
Calu-6,N2,n1,1.45,847,866,-5.150532518405962
Calu-6,N2,n1,1.55,911,931,-0.7679762071561638
Calu-6,N2,n1,1.65,805,824,2.470492062956499
Calu-6,N2,n1,1.75,561,576,5.0239740837371105
Calu-6,N2,n1,1.85,409,416,7.478733539264034
Calu-6,N2,n1,1.95,343,356,9.548372351327112
Calu-6,N2,n1,2.05,306,310,11.370158700907139
Calu-6,N2,n1,2.15,294,303,12.910950870393734
Calu-6,N2,n1,2.25,226,227,14.189235630643696
Calu-6,N2,n1,2.35,148,152,15.269395014149016
Calu-6,N2,n1,2.45,101,104,16.21713209563408
Calu-6,N2,n1,2.55,43,43,17.063641156365378
Calu-6,N2,n1,2.65,1,1,17.86715646328244
Calu-6,N2,n1,2.75,0,0,18.64572698424957
Calu-6,N2,n1,2.85,0,0,19.39904583092727
Calu-6,N2,n1,2.95,0,0,20.126855534701836
Calu-6,N2,n2,0.05,16,1600,-77.18361924387605
Calu-6,N2,n2,0.15,5,352,-67.91576464059474
Calu-6,N2,n2,0.25,5,336,-59.53676741485735
Calu-6,N2,n2,0.35,4,331,-51.89417269562027
Calu-6,N2,n2,0.45,16,376,-44.872387603509075
Calu-6,N2,n2,0.55,19,456,-38.38167439308634
Calu-6,N2,n2,0.65,37,504,-32.35092854353044
Calu-6,N2,n2,0.75,38,494,-26.72276575148428
Calu-6,N2,n2,0.85,89,629,-21.450067047466316
Calu-6,N2,n2,0.95,150,701,-16.493469344869833
Calu-6,N2,n2,1.05,278,772,-11.819479513067293
Calu-6,N2,n2,1.15,459,733,-7.399001460926412
Calu-6,N2,n2,1.25,693,763,-3.2061323846113408
Calu-6,N2,n2,1.35,745,787,0.4774793880335788
Calu-6,N2,n2,1.45,859,871,3.6202279158078667
Calu-6,N2,n2,1.55,918,927,6.016677213274118
Calu-6,N2,n2,1.65,833,842,8.266425778659567
Calu-6,N2,n2,1.75,583,593,10.157373389115582
Calu-6,N2,n2,1.85,557,566,11.836774428535307
Calu-6,N2,n2,1.95,523,541,13.26863822267997
Calu-6,N2,n2,2.05,384,396,14.478866926475812
Calu-6,N2,n2,2.15,299,299,15.510998549527745
Calu-6,N2,n2,2.25,190,198,16.41852284248604
Calu-6,N2,n2,2.35,120,124,17.23081675607305
Calu-6,N2,n2,2.45,77,79,17.992948818157902
Calu-6,N2,n2,2.55,37,39,18.730471419996743
Calu-6,N2,n2,2.65,5,5,19.443224861593592
Calu-6,N2,n2,2.75,0,0,20.13108844090785
Calu-6,N2,n2,2.85,0,0,20.793986627401374
Calu-6,N2,n2,2.95,0,0,21.431893863678624
Calu-6,N2,n3,0.05,73,1499,-74.69421775593804
Calu-6,N2,n3,0.15,21,344,-65.86346795174424
Calu-6,N2,n3,0.25,33,379,-57.879896973065705
Calu-6,N2,n3,0.35,37,406,-50.59884749212182
Calu-6,N2,n3,0.45,44,402,-43.91091624500463
Calu-6,N2,n3,0.55,74,464,-37.731558975543024
Calu-6,N2,n3,0.65,80,492,-31.99431142248685
Calu-6,N2,n3,0.75,133,603,-26.646226797434252
Calu-6,N2,n3,0.85,151,639,-21.644726495547093
Calu-6,N2,n3,0.95,269,663,-16.955384009182076
Calu-6,N2,n3,1.05,446,699,-12.550345404236321
Calu-6,N2,n3,1.15,703,726,-8.407198016144285
Calu-6,N2,n3,1.25,725,742,-4.5081653334621254
Calu-6,N2,n3,1.35,767,772,-0.8395480562540563
Calu-6,N2,n3,1.45,804,812,2.366647223426458
Calu-6,N2,n3,1.55,888,896,4.727771887764359
Calu-6,N2,n3,1.65,696,707,6.989784733717766
Calu-6,N2,n3,1.75,427,435,8.937131373057031
Calu-6,N2,n3,1.85,372,375,10.68390161421798
Calu-6,N2,n3,1.95,292,294,12.185721931112262
Calu-6,N2,n3,2.05,289,290,13.463899983520097
Calu-6,N2,n3,2.15,261,268,14.56611521235833
Calu-6,N2,n3,2.25,221,222,15.524527249389086
Calu-6,N2,n3,2.35,164,168,16.37232181408961
Calu-6,N2,n3,2.45,107,108,17.15764589697339
Calu-6,N2,n3,2.55,37,39,17.91782752513614
Calu-6,N2,n3,2.65,1,2,18.65262526138759
Calu-6,N2,n3,2.75,0,0,19.361844269947273
Calu-6,N2,n3,2.85,0,0,20.0453429602184
Calu-6,N2,n3,2.95,0,0,20.70303815773247
Calu-6,N3,n1,0.05,5,986,-74.75907281547215
Calu-6,N3,n1,0.15,4,185,-66.09421851778741
Calu-6,N3,n1,0.25,3,226,-58.279378700963434
Calu-6,N3,n1,0.35,10,255,-51.167817159744764
Calu-6,N3,n1,0.45,31,338,-44.6478387540157
Calu-6,N3,n1,0.55,35,344,-38.632356766529
Calu-6,N3,n1,0.65,64,358,-33.05206070939391
Calu-6,N3,n1,0.75,78,444,-27.85078889802517
Calu-6,N3,n1,0.85,85,506,-22.98230414967501
Calu-6,N3,n1,0.95,146,614,-18.40799295084375
Calu-6,N3,n1,1.05,171,621,-14.09519111429148
Calu-6,N3,n1,1.15,284,616,-10.015946815786968
Calu-6,N3,n1,1.25,433,660,-6.146097939758051
Calu-6,N3,n1,1.35,662,697,-2.4645824885205645
Calu-6,N3,n1,1.45,703,714,0.6935689849554351
Calu-6,N3,n1,1.55,731,744,3.169239203735758
Calu-6,N3,n1,1.65,675,693,5.289703687235885
Calu-6,N3,n1,1.75,556,568,7.236660835231836
Calu-6,N3,n1,1.85,400,407,8.960821811521297
Calu-6,N3,n1,1.95,317,323,10.512534084630671
Calu-6,N3,n1,2.05,251,266,11.849553367809655
Calu-6,N3,n1,2.15,207,217,13.022224543446338
Calu-6,N3,n1,2.25,128,131,14.056692789030606
Calu-6,N3,n1,2.35,81,85,14.978361690045054
Calu-6,N3,n1,2.45,42,42,15.82582566472225
Calu-6,N3,n1,2.55,31,31,16.646205600583414
Calu-6,N3,n1,2.65,1,2,17.439101499232386
Calu-6,N3,n1,2.75,0,0,18.204184966405663
Calu-6,N3,n1,2.85,0,0,18.941205655013913
Calu-6,N3,n1,2.95,0,0,19.649996024517318
Calu-6,N3,n2,0.05,11,2287,-90.03076766053599
Calu-6,N3,n2,0.15,18,486,-79.32897492989687
Calu-6,N3,n2,0.25,23,527,-69.6564888609466
Calu-6,N3,n2,0.35,23,517,-60.83803808148702
Calu-6,N3,n2,0.45,13,540,-52.74104651612806
Calu-6,N3,n2,0.55,39,558,-45.262984606109505
Calu-6,N3,n2,0.65,120,631,-38.323111674170946
Calu-6,N3,n2,0.75,222,762,-31.856911449281945
Calu-6,N3,n2,0.85,321,802,-25.81224710718363
Calu-6,N3,n2,0.95,449,780,-20.146655284796253
Calu-6,N3,n2,1.05,579,826,-14.825422191575736
Calu-6,N3,n2,1.15,789,902,-9.820217878118555
Calu-6,N3,n2,1.25,894,958,-5.108147280693839
Calu-6,N3,n2,1.35,862,903,-0.6711305437321822
Calu-6,N3,n2,1.45,874,890,2.8892749088035248
Calu-6,N3,n2,1.55,912,927,5.606311406621149
Calu-6,N3,n2,1.65,754,801,8.185128904302827
Calu-6,N3,n2,1.75,592,609,10.197220862692046
Calu-6,N3,n2,1.85,450,486,11.85018536269688
Calu-6,N3,n2,1.95,454,459,13.253501737873647
Calu-6,N3,n2,2.05,376,383,14.427395836643464
Calu-6,N3,n2,2.15,278,296,15.432105436287843
Calu-6,N3,n2,2.25,236,238,16.30688964966845
Calu-6,N3,n2,2.35,172,176,17.08826446358583
Calu-6,N3,n2,2.45,109,114,17.823130523893276
Calu-6,N3,n2,2.55,48,50,18.53420082859006
Calu-6,N3,n2,2.65,5,5,19.221331046513978
Calu-6,N3,n2,2.75,0,0,19.8844124474358
Calu-6,N3,n2,2.85,0,0,20.523378123385996
Calu-6,N3,n2,2.95,0,0,21.138207847279777
Calu-6,N3,n3,0.05,16,2021,-92.54637791207418
Calu-6,N3,n3,0.15,13,483,-81.5539673533828
Calu-6,N3,n3,0.25,10,464,-71.62411844818627
Calu-6,N3,n3,0.35,15,492,-62.57567075954564
Calu-6,N3,n3,0.45,20,625,-54.27151317036701
Calu-6,N3,n3,0.55,21,695,-46.6055786956921
Calu-6,N3,n3,0.65,53,775,-39.4943628225542
Calu-6,N3,n3,0.75,79,729,-32.87121604183905
Calu-6,N3,n3,0.85,147,744,-26.682406919649644
Calu-6,N3,n3,0.95,205,773,-20.884356292184236
Calu-6,N3,n3,1.05,246,831,-15.44167251004235
Calu-6,N3,n3,1.15,375,806,-10.3257530213733
Calu-6,N3,n3,1.25,682,808,-5.513800305697657
Calu-6,N3,n3,1.35,819,835,-0.9881522897026347
Calu-6,N3,n3,1.45,794,833,2.7926467582116397
Calu-6,N3,n3,1.55,900,928,5.531348223822389
Calu-6,N3,n3,1.65,810,820,8.031937760587557
Calu-6,N3,n3,1.75,597,604,10.13077332642749
Calu-6,N3,n3,1.85,474,485,11.866563563591928
Calu-6,N3,n3,1.95,419,427,13.335394545466155
Calu-6,N3,n3,2.05,343,345,14.56096940055303
Calu-6,N3,n3,2.15,289,296,15.605740320947344
Calu-6,N3,n3,2.25,199,203,16.512065508078322
Calu-6,N3,n3,2.35,122,124,17.31690988362107
Calu-6,N3,n3,2.45,63,65,18.05076948734167
Calu-6,N3,n3,2.55,31,32,18.757742165867874
Calu-6,N3,n3,2.65,1,2,19.441801770119618
Calu-6,N3,n3,2.75,0,0,20.102838953061617
Calu-6,N3,n3,2.85,0,0,20.74077895161772
Calu-6,N3,n3,2.95,0,0,21.35558657945269
